Running walthread1 for 20 seconds...
Thread 17 says: 40 checkpoints
Thread 16 says: 155 iterations
Thread 15 says: 203 iterations
Thread 14 says: 156 iterations
Thread 13 says: 182 iterations
Thread 12 says: 195 iterations
Thread 11 says: 168 iterations
Thread 10 says: 157 iterations
Thread 9 says: 153 iterations
Thread 8 says: 156 iterations
Thread 7 says: 161 iterations
Thread 6 says: 165 iterations
Thread 5 says: 168 iterations
Thread 4 says: 161 iterations
Thread 3 says: 184 iterations
Thread 2 says: 175 iterations
Thread 1 says: 163 iterations
0 errors out of 1 tests
